Ancestor,Annotator,Applications-detailed,Applications,Backdrive Friction,MatchedDevice,Matched,Claimed Properties,Continuous Force *,Cost,D1,D2,D3,D4,D5,D6,Device,Device Index,Device Model Video,DoF Types,Drive,Embedded Video,F32,F33,F74,Fabricability,Force Resolution,Friction,Full Name,Further information,HTTP Video,Human Interface,ImageLink,Images,Inertia at tip,Interaction Interface,Links (material??),Max. object stiffness (Reported) *,Max/Min Force  (Dyn. Range),Mechanism,Naming,Nominal Spatial Resolution,Notes,NumberOfDoF,Num Links-status,NumLinks,NumMotors,Num Other DoF,Num Rotational DoF,Num Translational DoF,Number of Citations,Number of Records,Obtainability,Paper Title,Paper type,Passive or Active Device,PeakForceNewton,Peak Force - Status,Peak Force - detailed,Peak Force Classification,Peak Torque (Nm) - derived,Peak Torque Classification,Pivot Field Names,Application Tag,Portability,ProductType,Qualitative tags,Refresh Rate,Repairability,Response,Robustness,To include,UX Attribute,UX Rating-2,Venue,Video Info2,Video Info,Video Link,VideoAvailable,Workspace Classification,Workspace Size *,Year,citation till Jan 2018,random,RotationalWorkspace,TranslationalWorkspace,DoFTypeIndex,ApplicationTagIndex,Application Tag,,,Device
"Y. Matsuoka and W. T. Townsend, “Design of life-size haptic environments”, Experimental Robotics VII, Rus and Singh, ed, 2001",FF,"they are able to increase user safety. 
Their demonstration allows subjects to evaluate many of the haptic
features that are required for a rich haptic environment.
Their orthogonal kinematics allow for a smooth
continuous workspace where the resisted forces can be varied freely.
 The demonstration depicts virtual geometric objects with 
both “sticky” and “non-sticky” surfaces  in a gravity-free environment.",virtual reality,,BAM'06,TRUE,,,High,-5,-5,-5,-20,-20,-20,BAM'06,24,,"Translational, Rotational",cable driven Dc motor,https://www.youtube.com/embed/6IhQnWb44zk,,,0,Low,,,CMU'06,,http://www.youtube.com/v/6IhQnWb44zk,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,3 DoF handle,from the images it is metal,,,Serial,derived,,,6,Estimated,7,6,0,3,3,9,1,Low,Demonstration of a Large Dissipative Haptic Environment,,Active,134,Reported,"happens at r=1m, 
134N eqaul to 134Nm",Very High,0,N/A,Application tags-1,virtual reality,Medium,Research Prototype,,,Medium,,Medium,1,Fabricability,Low,HAPTICS,VibVizVideo.mp4,VibVizVideo.mp4,,No,Large,"2 cubic meter
min/max r 0.25-1 m
theta and phi -/+ 60",2006,9,,Missing,Large: > 60cm,3,a2,virtual reality,,,BAM'06
Parallel delta based,HS+FF,"dental training, medical robotics, or advanced tele-operation tasks,medical and space robotics,micro and nano manipulators, teleoperation consoles,virtual simulations,training systems, research","dental training, medical robotics, micro manipulators, teleoperation, virtual reality, training systems, research",,Omega.6,TRUE,"hand-centered,active gravity compensation,automatic calibration,velocity monitoring,electromagnetic damping",,Ask for quote,16,16,11,320,240,140,Omega.6,8,,"Translational, Rotational",Estimated,https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Low,,,omega.6,,http://www.youtube.com/v/hB0TGrpSc4o,"One-handed, Bimanual",,https://volgadarinous.github.io/Carousel/site/index.html,,"a pen shaped handle
1 programmable button","8 links (with ground)( the real number is more but 
onsidering parallel, active and equal links I 
reached to 8)
 3 revolute joints (with ground) 
6 joints which has 2 DoF
 3 external Dof on the plate
Dof= 7*6-3*5-6*4+3=6",closed-loop 14.5 N/mm,,Parallel,original,"translation < 0.01 mm
rotation 0.09 deg",Force dimension Inc.,6,Estimated,11,6,0,3,3,N/A,1,High,omega.6,,Active,12,Reported,translation 12.0 N,Medium,-10,Missing,Application tags-1,dental training,High,Commercial Product,"hand-centered,active gravity compensation,automatic & driftless calibration,velocity monitoring,electromagnetic damping",refresh rate up to 4 KHz,Low,,High,1,Obtainability,High,Webpage,hapturk.mp4,hapturk.mp4,,No,Small,"translation ∅ 160 x 110 mm
rotation 240 x 140 x 320 deg",2008,40,,Large: < 360 degrees,Small: < 20cm,3,a3,dental training,,,Omega.6
Parallel delta based,HS+FF,"advanced aerospace and medical industries to enable elaborate control of dexterous robots, medical and space robotics,micro and nano manipulators, teleoperation consoles,virtual simulations,training systems, research, safety-critical applications(velocity monitoring electromagnetic damping)","medical robotics, micro manipulators, teleoperation, virtual reality, training systems, research, safety-critical applications",,Sigma.7,TRUE,"high contact force rendering,hand-centered,active gravity compensation,automatic calibration,velocity monitoring,electromagnetic damping",,Ask for quote,19,19,13,235,200,140,Sigma.7,6,,"Translational, Rotational, Other"," 6 motors + 1 kind of motor
 for active grasping (?)",https://www.youtube.com/embed/6IhQnWb44zk,,,0,Low,,,sigma.7,,http://www.youtube.com/v/6IhQnWb44zk,"One-handed, Bimanual",,https://volgadarinous.github.io/Carousel/site/index.html,,"Handle 
1 haptic programmable button
4 programmable input channels","8 links (with ground) ( the real number is more but considering  parallel, active and equal links I reached to 8)
3 revolute joints (with ground)
6 joints which has 2 DoF
3 external Dof on the plate
1 active grasping
Dof= 7*6-3*5-6*4+3+1=7",,,Parallel,original,"translation 0.0015 mm
rotation 0.013 deg
grasping 0.006 mm",Force dimension Inc.,7,Estimated,12,7,1,3,3,N/A,1,High,sigma.7,,Active,20,Reported,"translation 20.0 N
rotation 400 mNm
grasping ± 8.0 N",High,0.4,Low,Application tags-1,medical robotics,High,Commercial Product,"high contact force rendering,hand-centered,active gravity compensation,automatic & driftless calibration,velocity monitoring,electromagnetic damping",refresh rate up to 4 KHz,Low,,High,1,Robustness,High,Webpage,VibVizVideo.mp4,VibVizVideo.mp4,,No,Small,"translation:∅ 190 x 130 mm 
rotation: 235 x 140 x 200 deg 
grasping: 25 mm",2011,40,,Medium: < 240 degrees,Small: < 20cm,4,a4,medical robotics,,,Sigma.7
,GP+FF,"virtual reality that must render stiff of heavy objects, haptics research, and rehabilitation","virtual reality, research, rehabilitation",,HapticMaster,TRUE,high stiffness,,High,64,40,36,0,0,0,HapticMaster,16,,Translational,,https://www.youtube.com/embed/4OFa6MJRr58,,,0,Medium,0.01 N,,HapticMaster (ForceMaster in Japan),,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,2 kg,a long graspable bar,"Three actuators are used as joints, two of them were in series, and the toehr was in perpendicular to the others",10 ~ 50 kN/m,,Serial,original,4 ~ 12 um,Moog Inc.,3,Estimated,4,3,0,0,3,296,1,Low,"The HapticMaster, a new high-performance haptic interface",1,Active,250,Reported,250 N,Very High,0,N/A,Application tags-1,virtual reality,Medium,Commercial Product,"high quality,precise",2.5 kHz,Medium,frequency response (in magnitude plot) from 1 to 25 Hz,High,1,Robustness,High,Eurohaptics,iswc16-cameraready.mp4,iswc16-cameraready.mp4,,No,Medium,"360 mm x 400 mm x 1.0 rad (in volumetric circular sector)
0.08 m^3",2002,296,,N/A: 0 degrees,Medium: < 60cm,1,a2,virtual reality,,,HapticMaster
,GP+FF,Micro-level surgical simulator or teleoperator,"teleoperation, surgical robotics, surgery",,Pen_Uwashington'95,TRUE,"low-inertia, low friction, no backlash","Planar: > 0.55 N
 Vertical:> 0.5 N",Moderate,1.5,1.5,1.37,0,0,0,Pen_Uwashington'95,3,,Translational,3 DC motors for Planar 2 DoF and 2 DC motors for vertical DoF,https://www.youtube.com/embed/6IhQnWb44zk,,,0,Medium,,,Pen_Uwashington'95,,http://www.youtube.com/v/6IhQnWb44zk,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,Pen,Three serial linkages connected in parallel for 2DoF endpoint,,,Parallel,derived,,A paper that optimized their design for a micro-surgery force-feedback device,3,Estimated,7,5,0,0,3,205,1,Low,Pen-Based Force Display for Precision Manipulation in Virtual Environments,1,Active,1,Reported,Planar: > 1 N,Very Low,0,N/A,Application tags-1,surgical robotics,High,Research Prototype,,,Medium,,Medium,1,Portability,High,IEEE VR,iswc16-cameraready.mp4,iswc16-cameraready.mp4,,No,Very Small,"Planar: > 1.5 cm^2
 Vertical: >1.37 cm",1995,205,,N/A: 0 degrees,Very Small: < 6cm,1,a5,surgical robotics,,,Pen_Uwashington'95
,FF,"with applications towards robot-assisted minimally invasive surgery.
can also be used in other areas such as the automotive industry,
 gaming industry, rehabilitation aid for people with finger,
 hand, and/or forearm injuries, etc.","surgery, automotive industry, gaming industry, rehabilitation, minimally invasive surgery",,UDrexel'06,TRUE,,"40N in X,Y and Z directions.
12.5N of force at the tip of the thimbles (grasping).",Moderate,19.05,19.05,11.43,180,70,20,UDrexel'06,23,,"Translational, Rotational, Other","cable driven dc motors 
(RE40 and RE36 manufactured by 
Maxon Motors)",https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Low,,,UDrexel'06,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,two thimbles,,,,Hybrid,derived,,,7,Estimated,7,7,1,3,3,7,1,Low,Design and Development of a General Purpose 7 DOF Haptic Device,,Active,40,Reported,,High,0,N/A,Application tags-2,surgery,Medium,Research Prototype,,,Medium,,Medium,1,Fabricability,Low,HAPTICS,hapturk.mp4,hapturk.mp4,,No,Small,"0.0041 cubic meters
 (approximately 0.1905m
 wide by 0.1905m deep by
0.1143m high)",2006,7,,Medium: < 240 degrees,Small: < 20cm,4,a6,surgery,,,UDrexel'06
UTokyo'09,"FF,HS",,,,NONE,,,,,34,34,,,,,Utokyo'11,40,,Translational,,,,,0,Medium,,1,UTokyo'11,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Serial,derived,,,2,Estimated,2,2,0,0,2,2,1,Low,System development of an admittance-controlled 2-dof haptic device using electrostatic motors,,Active,7,,,,,,Application tags-1,virtual reality,Medium,Research Prototype,,,High,,Low,1,Repairability,High,HAPTICS,,,,No,Small,,2011,2,,N/A: 0 degrees,Medium: < 60cm,1,a2,virtual reality,,,Utokyo'11
,GP+FF,,virtual reality,,NONE,FALSE,light weight,3 N,High,52.1,40,37,270,250,120,Virtuose 6D Desktop,14,,"Translational, Rotational",Three DC motors,https://www.youtube.com/embed/hB0TGrpSc4o,,,1,Medium,,,Virtuose 3D Desktop,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,150 g,a metallic bar-type grip (provides an adaptor with a standard 1/8th inch axis),,1000 N/m,,Serial,original,translation 0.01 mm,Haption Inc.,6,Estimated,9,3,0,3,3,N/A,1,High,Virtuose 6D Desktop,-,Active,10,Reported,10 N,Medium,-20,Missing,Application tags-1,teleoperation,High,Commercial Product,customizable,,Low,,High,1,Obtainability,High,Webpage,hapturk.mp4,hapturk.mp4,https://drive.google.com/file/d/1OWD0YfwmFuG-xSxJGqe-7WU1pfpZhNsQ/view,No,Medium,"translation 521x370x400 mm
rotation 270x120x250 degree",2007,40,,Large: < 360 degrees,Medium: < 60cm,3,a7,teleoperation,,,Virtuose 6D Desktop
delta-based,HS+FF,"virtual reality theaters, medical and space robotics,micro and nano manipulators, teleoperation consoles,virtual simulations,training systems, research","virtual reality, medical robotics, space robotics, micro manipulators, teleoperation, virtual simulations, training systems, research",,Delta.3,TRUE,"gravity compensation,automatic calibration,velocity monitoring,electromagnetic damping",,Ask for quote,40,40,26,0,0,0,Delta.3,10,https://drive.google.com/file/d/1zc9-0lsx_0W8j0bJv5aRRYYyUaA2fW9_/view,Translational,3 motors,https://www.youtube.com/embed/4OFa6MJRr58,,,1,Medium,,,delta.3,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,"a spherical handle
1 programmable button","8 links (with ground) ( the real number is more but considering  parallel, active and equal links I reached to 8)
3 revolute joints (with ground)
6 joints which has 2 DoF
Dof= 7*6-3*5-6*4=3",,,Parallel,original,translation 0.02 mm,Force dimension Inc.,3,Estimated,8,3,0,0,3,N/A,1,High,delta.3,,Active,20,Reported,translation 20.0 N,High,0,N/A,Application tags-1,virtual reality,High,Commercial Product,"gravity compensation,automatic & driftless calibration,velocity monitoring,electromagnetic damping",refresh rate up to 4 KHz,Low,,High,1,Obtainability,High,Webpage,iswc16-cameraready.mp4,iswc16-cameraready.mp4,https://drive.google.com/file/d/1zc9-0lsx_0W8j0bJv5aRRYYyUaA2fW9_/view,Yes,Medium,translation ∅ 400 x 260 mm,2009,40,,N/A: 0 degrees,Medium: < 60cm,1,a2,virtual reality,,,Delta.3
,GP or HS? +FF,Teleoperation with a remote robot,"teleoperation, virtual reality, space robotics, surgical robotics",,Freedom6S,TRUE,"low friction, high spatial resolution","Translational: 0.6 N
Rotational: 80 mN m",Moderate,24,22,22,320,100,100,Freedom6S,5,,"Translational, Rotational",Three DC motors for translation and three distal DC motors for rotation,https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Low,"Tran: 1.5 mN
Rot: 0.1 mN m","Translational: 0.6N
Rotational: 0.02 Nm",Freedom6S,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,"200 g (Motor 0)
100 g (Motor 1, 2)",A rigid and long stick (handle),Polymer linkage with 8 joints,700 N/m,,Hybrid,original,"Translation: 20um
Rotational: 0.005 rad",MPB technologies Inc.,6,Estimated,7,6,0,3,3,19,1,Low,Freedom 6S Force Feedback Hand Controller,1,Active,2.5,Reported,"Translational: 2.5 N (50s)
Rotational: 125 mN m (30s)",Low,0.125,Low,Application tags-1,teleoperation,Medium,Commercial Product,,,Low,,Medium,1,Fabricability,Low,IFAC Volumes,hapturk.mp4,hapturk.mp4,,No,Medium,"Elliptical 22 x 24 x 22 cm
Distal 100, 100, and 320 degrees for pitch , yaw, and roll",1998,19,,Large: < 360 degrees,Medium: < 60cm,3,a7,teleoperation,,,Freedom6S
